Date,NG
Jan-97,3.45
Feb-97,2.15
Mar-97,1.89
Apr-97,2.03
May-97,2.25
Jun-97,2.2
Jul-97,2.19
Aug-97,2.49
Sep-97,2.88
Oct-97,3.07
Nov-97,3.01
Dec-97,2.35
Jan-98,2.09
Feb-98,2.23
Mar-98,2.24
Apr-98,2.43
May-98,2.14
Jun-98,2.17
Jul-98,2.17
Aug-98,1.85
Sep-98,2.02
Oct-98,1.91
Nov-98,2.12
Dec-98,1.72
Jan-99,1.85
Feb-99,1.77
Mar-99,1.79
Apr-99,2.15
May-99,2.26
Jun-99,2.3
Jul-99,2.31
Aug-99,2.8
Sep-99,2.55
Oct-99,2.73
Nov-99,2.37
Dec-99,2.36
Jan-00,2.42
Feb-00,2.66
Mar-00,2.79
Apr-00,3.04
May-00,3.59
Jun-00,4.29
Jul-00,3.99
Aug-00,4.43
Sep-00,5.06
Oct-00,5.02
Nov-00,5.52
Dec-00,8.9
Jan-01,8.17
Feb-01,5.61
Mar-01,5.23
Apr-01,5.19
May-01,4.19
Jun-01,3.72
Jul-01,3.11
Aug-01,2.97
Sep-01,2.19
Oct-01,2.46
Nov-01,2.34
Dec-01,2.3
Jan-02,2.32
Feb-02,2.32
Mar-02,3.03
Apr-02,3.43
May-02,3.5
Jun-02,3.26
Jul-02,2.99
Aug-02,3.09
Sep-02,3.55
Oct-02,4.13
Nov-02,4.04
Dec-02,4.74
Jan-03,5.43
Feb-03,7.71
Mar-03,5.93
Apr-03,5.26
May-03,5.81
Jun-03,5.82
Jul-03,5.03
Aug-03,4.99
Sep-03,4.62
Oct-03,4.63
Nov-03,4.47
Dec-03,6.13
Jan-04,6.14
Feb-04,5.37
Mar-04,5.39
Apr-04,5.71
May-04,6.33
Jun-04,6.27
Jul-04,5.93
Aug-04,5.41
Sep-04,5.15
Oct-04,6.35
Nov-04,6.17
Dec-04,6.58
Jan-05,6.15
Feb-05,6.14
Mar-05,6.96
Apr-05,7.16
May-05,6.47
Jun-05,7.18
Jul-05,7.63
Aug-05,9.53
Sep-05,11.75
Oct-05,13.42
Nov-05,10.3
Dec-05,13.05
Jan-06,8.69
Feb-06,7.54
Mar-06,6.89
Apr-06,7.16
May-06,6.25
Jun-06,6.21
Jul-06,6.17
Aug-06,7.14
Sep-06,4.9
Oct-06,5.85
Nov-06,7.41
Dec-06,6.73
Jan-07,6.55
Feb-07,8
Mar-07,7.11
Apr-07,7.6
May-07,7.64
Jun-07,7.35
Jul-07,6.22
Aug-07,6.22
Sep-07,6.08
Oct-07,6.74
Nov-07,7.1
Dec-07,7.11
Jan-08,7.99
Feb-08,8.54
Mar-08,9.41
Apr-08,10.18
May-08,11.27
Jun-08,12.69
Jul-08,11.09
Aug-08,8.26
Sep-08,7.67
Oct-08,6.74
Nov-08,6.68
Dec-08,5.82
Jan-09,5.24
Feb-09,4.52
Mar-09,3.96
Apr-09,3.5
May-09,3.83
Jun-09,3.8
Jul-09,3.38
Aug-09,3.14
Sep-09,2.99
Oct-09,4.01
Nov-09,3.66
Dec-09,5.35
Jan-10,5.83
Feb-10,5.32
Mar-10,4.29
Apr-10,4.03
May-10,4.14
Jun-10,4.8
Jul-10,4.63
Aug-10,4.32
Sep-10,3.89
Oct-10,3.43
Nov-10,3.71
Dec-10,4.25
Jan-11,4.49
Feb-11,4.09
Mar-11,3.97
Apr-11,4.24
May-11,4.31
Jun-11,4.54
Jul-11,4.42
Aug-11,4.06
Sep-11,3.9
Oct-11,3.57
Nov-11,3.24
Dec-11,3.17
Jan-12,2.67
Feb-12,2.51
Mar-12,2.17
Apr-12,1.95
May-12,2.43
Jun-12,2.46
Jul-12,2.95
Aug-12,2.84
Sep-12,2.85
Oct-12,3.32
Nov-12,3.54
Dec-12,3.34
Jan-13,3.33
Feb-13,3.33
Mar-13,3.81
Apr-13,4.17
May-13,4.04
Jun-13,3.83
Jul-13,3.62
Aug-13,3.43
Sep-13,3.62
Oct-13,3.68
Nov-13,3.64
Dec-13,4.24
Jan-14,4.71
Feb-14,6
Mar-14,4.9
Apr-14,4.66
May-14,4.58
Jun-14,4.59
Jul-14,4.05
Aug-14,3.91
Sep-14,3.92
Oct-14,3.78
Nov-14,4.12
Dec-14,3.48
Jan-15,2.99
Feb-15,2.87
Mar-15,2.83
Apr-15,2.61
May-15,2.85
Jun-15,2.78
Jul-15,2.84
Aug-15,2.77
Sep-15,2.66
Oct-15,2.34
Nov-15,2.09
Dec-15,1.93
Jan-16,2.28
Feb-16,1.99
Mar-16,1.73
Apr-16,1.92
May-16,1.92
Jun-16,2.59
Jul-16,2.82
Aug-16,2.82
Sep-16,2.99
Oct-16,2.98
Nov-16,2.55
Dec-16,3.59
Jan-17,3.3
Feb-17,2.85
Mar-17,2.88
Apr-17,3.1
May-17,3.15
Jun-17,2.98
Jul-17,2.98
Aug-17,2.9
Sep-17,2.98
Oct-17,2.88
Nov-17,3.01
Dec-17,2.82
Jan-18,3.87
Feb-18,2.67
Mar-18,2.69
Apr-18,2.8
May-18,2.8
Jun-18,2.97
Jul-18,2.83
Aug-18,2.96
Sep-18,3
Oct-18,3.28
Nov-18,4.09
Dec-18,4.04
Jan-19,3.11
Feb-19,2.69
Mar-19,2.95
Apr-19,2.65
May-19,2.64
Jun-19,2.4
Jul-19,2.37
Aug-19,2.22
Sep-19,2.56
Oct-19,2.33
Nov-19,2.65
Dec-19,2.22
Jan-20,2.02
Feb-20,1.91
Mar-20,1.79
Apr-20,1.74
May-20,1.75
Jun-20,1.63
Jul-20,1.77
Aug-20,2.3
Sep-20,1.92
Oct-20,2.39
Nov-20,2.61
Dec-20,2.59
Jan-21,2.71
Feb-21,5.35
Mar-21,2.62
Apr-21,2.66
May-21,2.91
Jun-21,3.26
Jul-21,3.84
Aug-21,4.07
Sep-21,5.16
Oct-21,5.51
Nov-21,5.05
Dec-21,3.76
Jan-22,4.38
Feb-22,4.69
Mar-22,4.9
Apr-22,6.6
May-22,8.14
Jun-22,7.7
